scenario,intent,Total_Slots_Used,Unique_Slots_Count,Associated_Entities
calendar,calendar_set,11558,17,"['event_name', 'date', 'time', 'person', 'general_frequency', 'relation', 'place_name', 'timeofday', 'meal_type', 'media_type']"
weather,weather_query,5726,10,"['weather_descriptor', 'date', 'place_name', 'timeofday', 'time', 'event_name', 'general_frequency', 'meal_type', 'business_type', 'food_type']"
calendar,calendar_query,4673,12,"['date', 'event_name', 'time', 'timeofday', 'person', 'relation', 'place_name', 'sport_type', 'meal_type', 'business_name']"
play,play_music,4398,14,"['artist_name', 'music_genre', 'song_name', 'playlist_name', 'music_descriptor', 'player_setting', 'date', 'media_type', 'app_name', 'time']"
news,news_query,3351,10,"['news_topic', 'media_type', 'place_name', 'date', 'person', 'time', 'general_frequency', 'timeofday', 'transport_type', 'device_type']"
social,social_post,2723,11,"['media_type', 'business_name', 'event_name', 'person', 'relation', 'date', 'place_name', 'personal_info', 'device_type', 'weather_descriptor']"
email,email_sendemail,2705,14,"['person', 'relation', 'date', 'event_name', 'email_address', 'time', 'timeofday', 'meal_type', 'place_name', 'general_frequency']"
qa,qa_factoid,2669,11,"['person', 'place_name', 'artist_name', 'event_name', 'date', 'time', 'news_topic', 'food_type', 'list_name', 'movie_name']"
transport,transport_query,2531,14,"['place_name', 'transport_type', 'date', 'time', 'business_name', 'transport_name', 'timeofday', 'business_type', 'event_name', 'relation']"
datetime,datetime_query,2126,7,"['date', 'place_name', 'time_zone', 'event_name', 'time', 'food_type', 'timeofday']"
transport,transport_ticket,1976,10,"['transport_type', 'place_name', 'date', 'time', 'transport_descriptor', 'timeofday', 'transport_name', 'relation', 'app_name', 'currency_name']"
email,email_query,1895,10,"['person', 'date', 'time', 'relation', 'email_folder', 'business_name', 'event_name', 'timeofday', 'personal_info', 'place_name']"
calendar,calendar_remove,1863,13,"['event_name', 'date', 'time', 'meal_type', 'person', 'place_name', 'timeofday', 'relation', 'general_frequency', 'transport_type']"
play,play_audiobook,1782,9,"['player_setting', 'audiobook_name', 'media_type', 'audiobook_author', 'artist_name', 'time', 'app_name', 'date', 'song_name']"
alarm,alarm_set,1717,11,"['time', 'date', 'timeofday', 'event_name', 'alarm_type', 'general_frequency', 'relation', 'order_type', 'time_zone', 'media_type']"
qa,qa_definition,1595,1,['definition_word']
cooking,cooking_recipe,1523,14,"['food_type', 'ingredient', 'cooking_type', 'drink_type', 'meal_type', 'media_type', 'date', 'event_name', 'app_name', 'business_name']"
recommendation,recommendation_locations,1439,8,"['business_type', 'place_name', 'food_type', 'business_name', 'meal_type', 'date', 'time', 'drink_type']"
qa,qa_currency,1423,4,"['currency_name', 'place_name', 'date', 'business_name']"
takeaway,takeaway_order,1410,11,"['food_type', 'business_name', 'order_type', 'business_type', 'meal_type', 'time', 'app_name', 'timeofday', 'drink_type', 'date']"
play,play_radio,1406,12,"['radio_name', 'app_name', 'music_genre', 'device_type', 'person', 'media_type', 'house_place', 'date', 'time', 'timeofday']"
general,general_quirky,1388,17,"['date', 'place_name', 'person', 'event_name', 'relation', 'time', 'meal_type', 'business_type', 'timeofday', 'food_type']"
recommendation,recommendation_events,1316,10,"['place_name', 'date', 'event_name', 'timeofday', 'business_type', 'time', 'movie_type', 'business_name', 'meal_type', 'personal_info']"
transport,transport_taxi,1295,12,"['transport_type', 'transport_agency', 'place_name', 'time', 'timeofday', 'date', 'business_name', 'business_type', 'event_name', 'transport_name']"
play,play_podcasts,1186,11,"['podcast_descriptor', 'podcast_name', 'player_setting', 'person', 'date', 'transport_type', 'time', 'media_type', 'place_name', 'radio_name']"
email,email_querycontact,1164,11,"['person', 'personal_info', 'relation', 'event_name', 'place_name', 'date', 'device_type', 'list_name', 'media_type', 'time']"
takeaway,takeaway_query,1143,10,"['order_type', 'business_name', 'business_type', 'food_type', 'place_name', 'meal_type', 'time', 'timeofday', 'event_name', 'person']"
iot,iot_hue_lightchange,1010,5,"['color_type', 'house_place', 'change_amount', 'time', 'player_setting']"
qa,qa_stock,906,6,"['business_name', 'date', 'news_topic', 'currency_name', 'time', 'person']"
iot,iot_cleaning,770,6,"['device_type', 'house_place', 'time', 'date', 'general_frequency', 'place_name']"
iot,iot_hue_lightoff,769,4,"['house_place', 'device_type', 'time', 'color_type']"
social,social_query,715,8,"['media_type', 'date', 'person', 'relation', 'time', 'general_frequency', 'event_name', 'news_topic']"
play,play_game,668,3,"['game_name', 'game_type', 'device_type']"
