Intent Name,Total Examples,Percentage (%)
calendar_set,5750,6.96
play_music,4690,5.68
weather_query,4275,5.18
general_quirky,4145,5.02
calendar_query,3970,4.81
qa_factoid,3875,4.69
news_query,3545,4.29
email_query,3050,3.69
email_sendemail,2655,3.21
datetime_query,2510,3.04
calendar_remove,2130,2.58
social_post,2070,2.51
play_radio,2005,2.43
qa_definition,1895,2.29
cooking_recipe,1600,1.94
transport_query,1570,1.9
lists_query,1495,1.81
play_podcasts,1450,1.76
recommendation_events,1295,1.57
alarm_set,1270,1.54
lists_remove,1265,1.53
lists_createoradd,1205,1.46
recommendation_locations,1175,1.42
play_audiobook,1130,1.37
music_query,1095,1.33
iot_hue_lightoff,1065,1.29
qa_currency,1065,1.29
qa_stock,1010,1.22
transport_ticket,935,1.13
alarm_query,915,1.11
iot_hue_lightchange,915,1.11
takeaway_query,905,1.1
takeaway_order,885,1.07
iot_coffee,870,1.05
email_querycontact,845,1.02
play_game,845,1.02
music_likeness,825,1.0
audio_volume_mute,785,0.95
transport_traffic,770,0.93
social_query,755,0.91
transport_taxi,750,0.91
iot_cleaning,690,0.84
audio_volume_up,675,0.82
qa_maths,580,0.7
iot_hue_lightup,575,0.7
iot_hue_lightdim,570,0.69
alarm_remove,565,0.68
general_joke,530,0.64
recommendation_movies,510,0.62
datetime_convert,380,0.46
iot_wemo_off,375,0.45
audio_volume_down,355,0.43
email_addcontact,355,0.43
music_settings,325,0.39
iot_wemo_on,325,0.39
iot_hue_lighton,150,0.18
general_greet,140,0.17
audio_volume_other,120,0.15
music_dislikeness,100,0.12
cooking_query,30,0.04
